model,price,other,mark,group
ADATA XPG DDR4-3200 CL16 SPECTRIX D60G RGB 패키지,102.04,16.0,3200,ram
ADATA XPG DDR4-3200 CL16 SPECTRIX D60G RGB 패키지,220.94,32.0,3200,ram
GeIL DDR4-3000 CL16 EVO X II AMD Gray RGB 패키지,152.71,32.0,3000,ram
GeIL DDR4-3000 CL16 EVO X II AMD Gray RGB 패키지,196.32,16.0,3000,ram
G.SKILL DDR4-3600 CL16 TRIDENT Z NEO 패키지,194.23,16.0,3600,ram
G.SKILL DDR4-3600 CL16 TRIDENT Z NEO 패키지,335.4,32.0,3600,ram
G.SKILL DDR4-3600 CL16 TRIDENT Z NEO 패키지,392.99,32.0,3600,ram
G.SKILL DDR4-3000 CL16 TRIDENT Z NEO 패키지,168.59,16.0,3000,ram
G.SKILL DDR4-3000 CL16 TRIDENT Z NEO 패키지,204.08,32.0,3000,ram
G.SKILL DDR4-3600 CL14 TRIDENT Z NEO 패키지,997.04,32.0,3600,ram
G.SKILL DDR4-3600 CL14 TRIDENT Z NEO 패키지,884.47,16.0,3600,ram
G.SKILL DDR4-3600 CL16 TRIDENT Z ROYAL C 실버 패키지,301.6,32.0,3600,ram
G.SKILL DDR4-3600 CL16 TRIDENT Z ROYAL C 실버 패키지,191.93,16.0,3600,ram
G.SKILL DDR4-3600 CL16 TRIDENT Z ROYAL C 실버 패키지,382.7,32.0,3600,ram
G.SKILL DDR4-3600 CL16 TRIDENT Z ROYAL C 골드 패키지,384.21,32.0,3600,ram
G.SKILL DDR4-3600 CL16 TRIDENT Z ROYAL C 골드 패키지,310.44,32.0,3600,ram
G.SKILL DDR4-3600 CL16 TRIDENT Z ROYAL C 골드 패키지,191.75,16.0,3600,ram
G.SKILL DDR4-3200 CL16 AEGIS,62.38,16.0,3200,ram
G.SKILL DDR4-3200 CL16 AEGIS,32.21,8.0,3200,ram
G.SKILL DDR4-3600 CL16 TRIDENT Z NEO C 패키지,150.75,16.0,3600,ram
G.SKILL DDR4-3600 CL16 TRIDENT Z NEO C 패키지,248.45,32.0,3600,ram
G.SKILL DDR4-3600 CL16 TRIDENT Z NEO C 패키지,306.12,32.0,3600,ram
G.SKILL DDR4-3200 CL14 TRIDENT Z NEO 패키지,335.4,32.0,3200,ram
G.SKILL DDR4-3200 CL14 TRIDENT Z NEO 패키지,191.84,16.0,3200,ram
G.SKILL DDR4-3200 CL14 TRIDENT Z NEO 패키지,418.9,32.0,3200,ram
GeIL DDR4-2666 CL19 EVO X II AMD Gray RGB 패키지,97.43,16.0,2666,ram
GeIL DDR4-2666 CL19 EVO X II AMD Gray RGB 패키지,237.8,32.0,2666,ram
ESSENCORE KLEVV DDR4-2666 CL19,47.29,16.0,2666,ram
ESSENCORE KLEVV DDR4-2666 CL19,25.47,8.0,2666,ram
ESSENCORE KLEVV DDR4-2666 CL19,14.64,4.0,2666,ram
ESSENCORE KLEVV DDR4-3200 CL16 CRAS X RGB 패키지,76.31,16.0,3200,ram
ESSENCORE KLEVV DDR4-3200 CL16 CRAS X RGB 패키지,133.27,32.0,3200,ram
디자인 코끼리 DDR4-2666 CL19,30.03,8.0,2666,ram
디자인 코끼리 DDR4-2666 CL19,62.52,16.0,2666,ram
TeamGroup T-Force DDR4-3000 CL16 Vulcan Z Gray,34.61,4.0,3000,ram
TeamGroup T-Force DDR4-3000 CL16 Vulcan Z Gray,68.55,8.0,3000,ram
삼성전자 DDR4-2666,16.06,4.0,2666,ram
삼성전자 DDR4-2666,27.51,8.0,2666,ram
삼성전자 DDR4-2666,100.0,32.0,2666,ram
TeamGroup T-Force DDR4-2666 CL18 Vulcan Z Gray,38.6,8.0,2666,ram
TeamGroup T-Force DDR4-2666 CL18 Vulcan Z Gray,26.16,4.0,2666,ram
TeamGroup T-Force DDR4-2666 CL18 Vulcan Z Red,38.6,8.0,2666,ram
TeamGroup T-Force DDR4-2666 CL18 Vulcan Z Red,26.11,4.0,2666,ram
PATRIOT DDR4-2666 CL19 SIGNATURE,15.26,4.0,2666,ram
PATRIOT DDR4-2666 CL19 SIGNATURE,26.94,8.0,2666,ram
PATRIOT DDR4-2666 CL19 SIGNATURE,50.75,16.0,2666,ram
TeamGroup T-Force DDR4-2666 CL18 T1 GAMING,35.66,8.0,2666,ram
TeamGroup T-Force DDR4-2666 CL18 T1 GAMING,19.01,4.0,2666,ram
GeIL DDR4-2666 CL19 SUPER LUCE RGB Sync 화이트,39.04,8.0,2666,ram
GeIL DDR4-2666 CL19 SUPER LUCE RGB Sync 화이트,75.69,16.0,2666,ram
GeIL DDR4-2666 CL19 SUPER LUCE RGB Sync 블랙,39.04,8.0,2666,ram
GeIL DDR4-2666 CL19 SUPER LUCE RGB Sync 블랙,75.69,16.0,2666,ram
삼성전자 DDR4-2666 중고,56.62,16.0,2666,ram
삼성전자 DDR4-2666 중고,31.14,8.0,2666,ram
이메이션 DDR4-2666 Black Edition,55.99,8.0,2666,ram
이메이션 DDR4-2666 Black Edition,109.78,16.0,2666,ram
삼성전자 DDR4-2133 중고,27.24,8.0,2133,ram
삼성전자 DDR4-2133 중고,13.82,4.0,2133,ram
G.SKILL DDR4-4000 CL17 TRIDENT Z ROYAL 골드 패키지,596.81,32.0,4000,ram
G.SKILL DDR4-4000 CL17 TRIDENT Z ROYAL 골드 패키지,302.31,16.0,4000,ram
PATRIOT DDR4-3000 CL16 VIPER STEEL,70.1,16.0,3000,ram
PATRIOT DDR4-3000 CL16 VIPER STEEL,35.4,8.0,3000,ram
이메이션 DDR4-2666,15.19,4.0,2666,ram
이메이션 DDR4-2666,25.38,8.0,2666,ram
이메이션 DDR4-2666,47.83,16.0,2666,ram
G.SKILL DDR4-3200 CL14 TRIDENT Z ROYAL 골드 패키지,460.51,32.0,3200,ram
G.SKILL DDR4-3200 CL14 TRIDENT Z ROYAL 골드 패키지,377.11,32.0,3200,ram
G.SKILL DDR4-3200 CL14 TRIDENT Z ROYAL 골드 패키지,803.02,64.0,3200,ram
G.SKILL DDR4-3200 CL14 TRIDENT Z ROYAL 실버 패키지,385.98,32.0,3200,ram
G.SKILL DDR4-3200 CL14 TRIDENT Z ROYAL 실버 패키지,460.51,32.0,3200,ram
G.SKILL DDR4-3200 CL14 TRIDENT Z ROYAL 실버 패키지,1708.07,28.0,3200,ram
CORSAIR DDR4-3200 CL16 Dominator Platinum RGB 패키지,225.38,32.0,3200,ram
CORSAIR DDR4-3200 CL16 Dominator Platinum RGB 패키지,433.01,64.0,3200,ram
써멀테이크 DDR4-3200 CL16 WaterRam RGB 패키지,326.53,16.0,3200,ram
써멀테이크 DDR4-3200 CL16 WaterRam RGB 패키지,520.81,32.0,3200,ram
TeamGroup T-Force DDR4-2666 CL15 Delta RGB 화이트 가넷,121.73,16.0,2666,ram
TeamGroup T-Force DDR4-2666 CL15 Delta RGB 화이트 가넷,115.35,8.0,2666,ram
TeamGroup T-Force DDR4-3200 CL16 Delta TUF Gaming RGB 패키지 가넷,102.04,16.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 Delta TUF Gaming RGB 패키지 가넷,190.77,32.0,3200,ram
G.SKILL DDR4-4000 CL17 TRIDENT Z ROYAL 실버 패키지,301.6,16.0,4000,ram
G.SKILL DDR4-4000 CL17 TRIDENT Z ROYAL 실버 패키지,594.41,32.0,4000,ram
CORSAIR DDR4-3000 CL15 Dominator Platinum RGB 패키지,138.42,16.0,3000,ram
CORSAIR DDR4-3000 CL15 Dominator Platinum RGB 패키지,440.99,64.0,3000,ram
CORSAIR DDR4-3000 CL15 Dominator Platinum RGB 패키지,214.73,32.0,3000,ram
TeamGroup T-Force DDR4-2933 CL16 Delta TUF Gaming RGB 패키지 서린,92.55,16.0,2933,ram
TeamGroup T-Force DDR4-2933 CL16 Delta TUF Gaming RGB 패키지 서린,180.47,32.0,2933,ram
TeamGroup T-Force DDR4-2666 CL15 Delta RGB 서린,43.48,8.0,2666,ram
TeamGroup T-Force DDR4-2666 CL15 Delta RGB 서린,94.66,16.0,2666,ram
G.SKILL DDR4-3600 CL17 TRIDENT Z ROYAL 실버 패키지,198.05,16.0,3600,ram
G.SKILL DDR4-3600 CL17 TRIDENT Z ROYAL 실버 패키지,403.19,32.0,3600,ram
G.SKILL DDR4-3000 CL16 TRIDENT Z ROYAL 골드 패키지,150.84,16.0,3000,ram
G.SKILL DDR4-3000 CL16 TRIDENT Z ROYAL 골드 패키지,380.3,32.0,3000,ram
CORSAIR DDR4-3600 CL18 Dominator Platinum RGB 패키지,795.92,64.0,3600,ram
CORSAIR DDR4-3600 CL18 Dominator Platinum RGB 패키지,377.11,32.0,3600,ram
CORSAIR DDR4-3600 CL18 Dominator Platinum RGB 패키지,196.98,16.0,3600,ram
TeamGroup T-Force DDR4-3200 CL16 Delta TUF Gaming RGB 패키지 서린,97.78,16.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 Delta TUF Gaming RGB 패키지 서린,180.12,32.0,3200,ram
TeamGroup T-Force DDR4-2666 CL15 Delta RGB 화이트 서린,87.49,16.0,2666,ram
TeamGroup T-Force DDR4-2666 CL15 Delta RGB 화이트 서린,40.05,8.0,2666,ram
G.SKILL DDR4-3600 CL16 TRIDENT Z ROYAL 실버 패키지,225.2,16.0,3600,ram
G.SKILL DDR4-3600 CL16 TRIDENT Z ROYAL 실버 패키지,449.96,32.0,3600,ram
TeamGroup T-Force DDR4-2666 CL18 Delta TUF Gaming RGB 패키지 서린,92.81,16.0,2666,ram
TeamGroup T-Force DDR4-2666 CL18 Delta TUF Gaming RGB 패키지 서린,176.75,32.0,2666,ram
CORSAIR DDR4-3200 CL16 Dominator Platinum RGB AMD 패키지,298.14,32.0,3200,ram
CORSAIR DDR4-3200 CL16 Dominator Platinum RGB AMD 패키지,152.62,16.0,3200,ram
CORSAIR DDR4-3200 CL16 Dominator Platinum RGB INTEL 패키지,152.62,16.0,3200,ram
CORSAIR DDR4-3200 CL16 Dominator Platinum RGB INTEL 패키지,289.26,32.0,3200,ram
GLOWAY DDR4-2666 TYPE-A,54.45,16.0,2666,ram
GLOWAY DDR4-2666 TYPE-A,48.79,8.0,2666,ram
G.SKILL DDR4-3000 CL16 TRIDENT Z ROYAL 실버 패키지,129.57,16.0,3000,ram
G.SKILL DDR4-3000 CL16 TRIDENT Z ROYAL 실버 패키지,380.3,32.0,3000,ram
킹스톤 DDR4-2666,39.22,8.0,2666,ram
킹스톤 DDR4-2666,29.28,4.0,2666,ram
킹스톤 DDR4-2666,75.42,16.0,2666,ram
V-Color 컬러풀 DDR4-2666,95.83,8.0,2666,ram
V-Color 컬러풀 DDR4-2666,118.68,16.0,2666,ram
Terabyte Ramonster DDR4-2666,50.99,16.0,2666,ram
Terabyte Ramonster DDR4-2666,24.94,8.0,2666,ram
Terabyte Ramonster DDR4-2666,16.74,4.0,2666,ram
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 화이트 패키지 가넷,74.09,16.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 화이트 패키지 가넷,133.1,32.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 패키지 가넷,133.1,32.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 패키지 가넷,74.09,16.0,3200,ram
타무즈 DDR4-2666 CL19,47.47,16.0,2666,ram
타무즈 DDR4-2666 CL19,25.37,8.0,2666,ram
타무즈 DDR4-2666 CL19,15.97,4.0,2666,ram
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 패키지 서린,74.98,16.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 패키지 서린,133.72,32.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 화이트 패키지 서린,133.98,32.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 화이트 패키지 서린,76.31,16.0,3200,ram
Apacer DDR4-2666 CL16 PANTHER RAGE RGB 골드,40.72,8.0,2666,ram
Apacer DDR4-2666 CL16 PANTHER RAGE RGB 골드,78.97,16.0,2666,ram
Apacer DDR4-2666 CL16 PANTHER RAGE RGB 블랙,40.72,8.0,2666,ram
Apacer DDR4-2666 CL16 PANTHER RAGE RGB 블랙,79.15,16.0,2666,ram
Terabyte Ramonster DDR4-2400,17.32,4.0,2400,ram
Terabyte Ramonster DDR4-2400,36.82,8.0,2400,ram
G.SKILL DDR4-2666 CL19 AEGIS,27.95,8.0,2666,ram
