model,price,other,mark,group
ADATA XPG DDR4-3200 CL16 SPECTRIX D80 레드 패키지,126.61,16.0,3200,ram
V-Color DDR4-3000 CL15 프리즘 RGB 패키지,89.17,16.0,3000,ram
Antec DDR4-2400 CL16 Series 5 RGB 블랙,115.35,8.0,2400,ram
ADATA XPG DDR4-3600 CL17 SPECTRIX D80 레드 패키지,168.59,16.0,3600,ram
TeamGroup T-Force DDR4-3200 CL16 TUF Gaming 패키지,208.15,32.0,3200,ram
CORSAIR DDR4-4000 CL19 VENGEANCE PRO RGB BLACK 패키지,409.94,16.0,4000,ram
ADATA XPG DDR4-3200 CL16 SPECTRIX D41 크림슨 레드 패키지,106.64,16.0,3200,ram
ADATA XPG DDR4-3600 CL17 SPECTRIX D41 티타늄 그레이 패키지,252.46,16.0,3600,ram
ADATA XPG DDR4-2666 CL16 SPECTRIX D41 티타늄 그레이 패키지,205.8,16.0,2666,ram
ADATA XPG DDR4-3200 CL16 SPECTRIX D41 크림슨 레드,146.41,8.0,3200,ram
ADATA XPG DDR4-3600 CL17 SPECTRIX D41 티타늄 그레이,125.81,8.0,3600,ram
ADATA XPG DDR4-2666 CL16 SPECTRIX D41 티타늄 그레이,133.09,8.0,2666,ram
GeIL DDR4-3000 CL15 EVO SPEAR 패키지,247.65,16.0,3000,ram
ADATA XPG DDR4-3000 CL16 SPECTRIX D41 티타늄 그레이 패키지,209.13,16.0,3000,ram
ADATA XPG DDR4-3000 CL16 SPECTRIX D41 크림슨 레드,105.82,8.0,3000,ram
ADATA XPG DDR4-3000 CL16 SPECTRIX D41 티타늄 그레이,105.82,8.0,3000,ram
마이크론 Crucial Ballistix DDR4-3000 CL16 Tactical Tracer RGB 패키지,97.18,16.0,3000,ram
ADATA XPG DDR4-3600 CL17 SPECTRIX D41 크림슨 레드 패키지,252.46,16.0,3600,ram
ADATA XPG DDR4-3000 CL16 SPECTRIX D41 크림슨 레드 패키지,209.13,16.0,3000,ram
ADATA XPG DDR4-3200 CL16 SPECTRIX D41 티타늄 그레이 패키지,243.12,16.0,3200,ram
ADATA XPG DDR4-3600 CL17 SPECTRIX D41 크림슨 레드,164.15,8.0,3600,ram
ADATA XPG DDR4-2666 CL16 SPECTRIX D41 크림슨 레드,43.48,8.0,2666,ram
ADATA XPG DDR4-3200 CL16 SPECTRIX D41 티타늄 그레이,150.84,8.0,3200,ram
GeIL DDR4-3200 CL16 EVO SPEAR 패키지,248.45,16.0,3200,ram
ADATA XPG DDR4-2666 CL16 SPECTRIX D41 크림슨 레드 패키지,80.75,16.0,2666,ram
G.SKILL DDR4-3600 CL17 TRIDENT ZKK 패키지,901.15,28.0,3600,ram
마이크론 Crucial Ballistix DDR4-2666 CL16 Tactical Tracer RGB 패키지,115.0,16.0,2666,ram
GeIL DDR4-3000 CL16 PRISTINE,37.98,8.0,3000,ram
TeamGroup T-Force DDR4-3600 CL18 Night Hawk RGB 화이트 패키지 가넷,230.7,16.0,3600,ram
TeamGroup T-Force DDR4-4000 CL18 Night Hawk RGB 패키지 서린,150.75,16.0,4000,ram
TeamGroup T-Force DDR4-3600 CL18 Night Hawk RGB 패키지 서린,118.46,16.0,3600,ram
TeamGroup T-Force DDR4-3600 CL18 Night Hawk RGB 화이트 패키지 서린,117.57,16.0,3600,ram
TeamGroup T-Force DDR4-4000 CL18 Night Hawk RGB 화이트 패키지 가넷,204.08,16.0,4000,ram
TeamGroup T-Force DDR4-3600 CL18 Night Hawk RGB 패키지 가넷,221.83,16.0,3600,ram
GeIL DDR4-3200 CL16 SUPER LUCE RGB Lite 블랙 패키지,248.45,16.0,3200,ram
TeamGroup T-Force DDR4-4000 CL18 Night Hawk RGB 화이트 패키지 서린,150.75,16.0,4000,ram
GeIL DDR4-3200 CL16 SUPER LUCE RGB Sync 화이트 패키지,72.58,16.0,3200,ram
GeIL DDR4-3200 CL16 SUPER LUCE RGB Sync 블랙 패키지,74.53,16.0,3200,ram
CORSAIR DDR4-3600 CL18 Dominator Platinum 패키지,341.61,16.0,3600,ram
G.SKILL DDR4-2666 CL19 NT,55.86,8.0,2666,ram
TeamGroup T-Force DDR4-2400 CL16 VULCAN Red,155.28,16.0,2400,ram
TeamGroup T-Force DDR4-2400 CL16 VULCAN Gray,73.65,8.0,2400,ram
Antec DDR4-2666 CL16 Series 5 Red,94.87,8.0,2666,ram
Antec DDR4-3000 CL16 Series 5 White,218.46,16.0,3000,ram
G.SKILL DDR4-3600 CL19 SNIPER X SXW 패키지,285.27,16.0,3600,ram
Antec DDR4-2400 CL16 Series 5 Red,212.95,16.0,2400,ram
G.SKILL DDR4-2400 CL17 SNIPER X SXF 패키지,158.39,16.0,2400,ram
Antec DDR4-2400 CL16 Series 5 White,91.86,8.0,2400,ram
TeamGroup T-Force DDR4-2666 CL15 VULCAN Gray,168.59,16.0,2666,ram
